SL NO,Hospital Name,ZONE,State,City,Address,Contact Person,Contact Number,Pincode,Area
922,Buddha Cancer Center,EAST,Bihar,Patna,"Nahar Chowk, Left To Nahar Chowk, Rupaspur, Bailey Road, City: Patna, Dist: Patna, State: Bihar - 801503",Dr. Arvind Kumar - MD,STD (0612) Tel: 0 Fax: 0 Mob: 9304029850,801503.0,Nahar Chowk
923,Buddha Eye Care & Laser Centre,EAST,Bihar,Patna,Jagdevan Plaza Petrol Pump Kankarbagh,0,0,800020.0,Kankarbagh
924,Burdwan Critical Care Unit Pvt Ltd,EAST,West Bengal,Burdwan,"7, R.B. Ghosh, Khoshbagan, Burdwan 713101 Dist Burdwan West Bengal",Mr. Jitendranath Mondal - Director,STD (0342) 2551004,713101.0,Khoshbagan
925,C C Shroff Memorial Hospital,SOUTH,Telangana,Hyderabad,3-4-801 Barkatpura Hyderabad 500027 Dist Hyderabad Telangana,Mr. N Sukumar - Trustee,STD(040) Tel: 27566666 27568422 27567725 Fax: 27551791,500027.0,Barkatpura
926,C R Reddy Hospital,SOUTH,Andhra Pradesh,Gudur,"13/264, Hospital Road Gudur 524101 Dist Nellore Andhra Pradesh",Dr. C.Janardhana Reddy - Managing Director,STD (08624) 251485 252385 Fax:221991,524101.0,Hospital Road
927,C T Nursing Home,WEST,Maharashtra,Pune,"Vishrantwadi-Lobegaon Road, Opp: Tirupati Varantham, Dhandori, Pune-Haveli Pune 411015 Dist Pune Maharashtra",Dr. Prashant - MD,STD(020) Tel: 0 Mob: 7709183772 Fax: 0,411015.0,Dhandori
928,C V R Hospital,SOUTH,Andhra Pradesh,Guntur,"1st Line, Sambasivapet, Behind Pallavi Deluxe Guntur 522001 Dist Guntur Andhra Pradesh",TPA Coordinator,"STD : 0863-2225708,2251373",522001.0,Behind Pallavi Deluxe
929,C-Dot Hospital,SOUTH,Tamil Nadu,Chennai,"No.2/1029, Perumbakkam Main Road, Perumbakkam, Chennai, Dist: Chennai, State: Tamil Nadu - 600100",B.Karthick - Administrator,STD (044) Tel: 42662888 Fax: 0 Mob: 6381182510,600100.0,Perumbakkam
930,C.B.Vaidya Memorial Hospital,WEST,Maharashtra,Kalyan West,"Kalyan, Mumabai, Dist: Mumbai, State: Maharashtra-421301",0,0,421301.0,Kalyan
931,C.N.R Nursing Home,SOUTH,Andhra Pradesh,Proddatur,4/6 Gandhi Road Proddatur 516360 Dist Kadapa Andhra Pradesh,Dr. M B Pratap Reddy -,STD(08564) Tel: 251559,516360.0,Proddutur
932,Calcium Hospital,SOUTH,Telangana,Hyderabad,"Plot No 9 Road No 3 Asr Raju Nagar Nizampet Road, Medchal, Hyderabad, Dist: Ranga Reddy, State: Telangana-500072",Dr N Naga Kiran,9392460662,500072.0,Nizampet
933,Calcutta Heart Clinic And Hospital,EAST,West Bengal,Kolkata,"HC-4, SECTOR III, BIDHANAGAR Kolkata 700106 Dist Kolkata West Bengal",Dr.Kisan Pradhan,STD (033) 23585735 23587885 Fax:23588876,700106.0,Sector III
934,Calcutta Lions Netra Niketan,EAST,West Bengal,Kolkata,"18/2/A/2, Uday Sankar Sarani, Golf Green Kolkata 700095 Dist Kolkata West Bengal",Mr. B.K.Khaitan - Chairman,STD (033) 24735009 24224637 Fax:24224643,700095.0,Uday Sankar Sarani
935,Campal Health Services Pvt.Ltd.,WEST,Goa,Panaji,"Next To Bal Bhavan, Opposite Parade Grounds, Campel, Panaji 403001 Dist North Goa",Dr. Ajoy Estibeiro - Managing Director,STD(0832) Tel: 2420415 2903465 2421043 Fax: 2421607,403001.0,Campel
936,Cancer Hospital And Research Institute,NORTH,Madhya Pradesh,Gwalior,"Mandre Ki Mata, Near Aamkho Bus Stand, Cancer Hills Gwalior 474001 Dist Gwalior Madhya Pradesh",Dr BR Shrivastav,STD (0751) Tel: 2336502 2336503 2336504 Fax: 2336506,474001.0,Cancer Hills
937,Capitol Hospital,NORTH,Punjab,Jalandhar,"Jalandhar-Pathankot Road, NH-44, Jalandhar - 144012; Dist: Jalandhar; State: Punjab",0,Std (0181) Tel: 2366666 Fax: 0,144012.0,NH-44
938,Cardinal Gracias Memorial Hospital,WEST,Maharashtra,Thane,"Bangli, Sandor Bangli, Sandor Vasai - West Thane 401201 Dist Thane Maharashtra",Ms. Philip P Culas -,STD(0250) Tel: 2322683 2324220 2325019 Fax: 2325885,401201.0,Vasai - West
939,Care And Cure Hospital,WEST,Gujarat,Bharuch,"Behind Rotary Club, Station Road, City: Bharuch, Dist: Bharuch, State: Gujarat - 392001",Dr. Abhishek Tapuriah,STD (02642) Tel: 264706 Fax: 0 Mob: 7818891170,392001.0,Station Road
940,Care And Cure Medicity Hospital,NORTH,Punjab,Amritsar,"The Mall Road, Batala Road, Amritsar 143001 Dist Amritsar Punjab",Mr.Ajay Seth - Managing Director,STD (0183) 5099360,143001.0,Batala Road
941,Care and Cure Nursing Home,EAST,West Bengal,Kolkata,S N Road Nabapally Barasat Barasat 700126 Dist Kolkata West Bengal,Mr. M Dutta - CEO,STD(033) Tel: 25422899 Fax: 25426737 25240471,700126.0,Nabapally
942,Care Concern Hospital Pvt Ltd,EAST,West Bengal,Serampore,"87/A, G.T.Road, (WEST) Serampore 712203 Dist Hoogly West Bengal",Mr. Samir Santra,STD (033) Tel: 26227083 Fax: 26220375,712203.0,GTRoad (West)
943,Care Hospital,WEST,Maharashtra,Mumbai,"Veer Abdul Hamid Rd, Malad, Gaikwad Nagar, Malvani, Malad West, City: Mumbai, Dist: Mumbai, State: Maharashtra - 400095",...,STD (022) Tel: 28898788 Fax: 0 Mob: 9820528151,400095.0,Malad West
944,Care Hospital ( A Unit of Ganga Care),WEST,Maharashtra,Nagpur,"3, Farmland PaNohsheel Square Ramdaspeth Nagpur 440010 Dist Nagpur Maharashtra",Dr. Varun Bhargav - Managing Director,STD(0712) Tel: 3982222 Fax: 2420158,440010.0,Ramdaspeth
945,CARE HOSPITAL - VISAKHAPATNAM,SOUTH,Andhra Pradesh,Visakhapatnam,"A.S.Raja Complex, 10-50-11/5, Waltair Main Road, Ramnagar Visakhapatnam 530002 Dist Visakhapatnam Andhra Pradesh",Dr GSR Murthy,STD(0891) Tel: 3041037 3041057 Fax: 3041416,530002.0,Ramnagar
946,"Care Hospital, Banjara Hills",SOUTH,Telangana,Hyderabad,6-3-248/1/1a Road No 1 Banjara Hills Banjara Hills Hyderabad 500033 Dist Hyderabad Telangana,Mr. Prakash - Incharge for Insurane,STD(040) Tel: 30418888 Fax: 66625003,500034.0,Banjara Hills
947,"Care Hospital, Musheerabad",SOUTH,Telangana,Hyderabad,D. No: 1-4-908/7/1 Opp: Raja Deluxe Musheerabad Hyderabad 500020 Dist Hyderabad Telangana,Dr. B S Sanadha Raj -,STD(040) Tel: 30219000 30219305 Fax: 30219618,500020.0,Musheerabad
948,"Care Hospital, Nampally",SOUTH,Telangana,Hyderabad,5-4-199 J.N. Road Nampally Hyderabad 500001 Dist Hyderabad Telangana,- Administrator,STD(040) Tel: 30417777 Fax: 24745110,500001.0,Nampally
949,"Care Hospital, Secunderabad",SOUTH,Telangana,Hyderabad,Near Clock Tower Adjacent To Wesley Church Market Street Secunderabad 500003 Dist Hyderabad Telangana,Mr. Ramana - Administrator,STD(040) Tel: 30486666 30486667 30486668 Fax: 27717738,500003.0,Market Street
950,Care hospitals (A unit of goe super sepciality med,NORTH,Uttar Pradesh,Bareilly,"Near delaper Petril Pupm, Urbon bareilly satdium road, Bertelly, Dist: Chandauli, State: Uttar Pradesh -243122",Dr. Nikunj Goel - MD,"STD(0581) Tel: 2310996, Fax: 0, Mob: 9917239996",243122.0,Near delaper Petril Pupm
951,Care Hospitals Bhubaneswar,EAST,Orissa,Bhubaneswar,"Plot No:324(P), Prachi Enclave, Chandrashekharpur, Bhubaneswar-751016; Dist: Khordha; State: Orissa",STD (0674) 3021999,Mr. Santosh Ku. Nayak,751016.0,Chandrashekharpur
952,Care Hospitals- Hi-Tech City,SOUTH,Telangana,Hyderabad,"Old Mumbai Highway, Near Cyberabad Commissionerate, Cyberabad Hyderabad 500032 Dist Hyderabad Telangana",Dr.Somaraju - Chairman,STD (040) 33623500 33623501,500032.0,Cyberabad
953,Care Multispeciality Hospital,WEST,Maharashtra,Pune,"Kolte Arcade, Pune Nagar Road, Wagholi Pune 412207 Dist Pune Maharashtra",Ms. Deepti - Director,Std (0) Tel: (0) Mob: 7028406666,412207.0,Pune Nagar Road
954,Care N Cure Superspeciality Hospital,NORTH,Chhattisgarh,Bilaspur,"Old Pratap Talkies, Pratap Chowk, Bilaspur 495001 Dist Bilaspur Chhattisgarh",Dr Siddharth Verma - CEO,STD (07752) Tel:400036; Mobile:7305880720,495001.0,Pratap Chowk
955,Care Point Hospital,WEST,Maharashtra,Thane,"Plot No. 45, Sector No. 29, Dronagiri Node, Behind Indian Oil Petrol Pump Uran Bokadvira uran 400702 Dist Thane Maharashtra",Ms. Lalita Thakur,STD (022) 27222525 Fax:27223535,400702.0,Dronagiri Node
956,Care Well Heart & Superspeciality Hospital,NORTH,Punjab,Amritsar,"G T ROAD, MODEL TOWN OPP CHIEF KHALSA DIWAN PUNJAB, AMRITSAR-143001",,0183-2562734,143001.0,Amritsar
957,CareMax Superspeciality Hospital (Previously Chawla Heart Care Centre),NORTH,Punjab,Jalandhar,"Plot No. 333, Near Guru Nanak Mission Chowk, Lajpat Nagar, Jalandhar - 144001; Dist: Jalandhar; State: Punjab",Dr Raman Chawla - Managing Director,STD (0181) 4669999 Fax:4669900,144001.0,Lajpat Nagar
958,Careplus Hospitals,SOUTH,Andhra Pradesh,Tirupati,"#2-164/14, New Balaji Colony, 80 Ft Road, M.R.Palli Tirupati 517502 Dist Chittoor Andhra Pradesh",Dr.Sumanth Reddy - Managing Director,STD (0877) Mobile:9581971000,517502.0,M.R.Palli
959,Carewell Hospital,NORTH,Haryana,Faridabad,"Plot No-8, Opposite Hudamarket, Sec-29, Faridabad 121008 Dist Faridabad Haryana",Dr Ashwani Goel,STD (0129) Tel: 4060888 Fax: 4060888,121008.0,Sec-29
960,Carewell Hospital and Research Centre,SOUTH,Kerala,Kasargod,"X/49, Nh-17 Nullippady Kasargod Kasargod 671121 Dist Kasargod Kerala",Dr. MAM Afsal - Director,STD(04994) Tel: 230180 222324 222325 Fax: 230771,671121.0,Nullippady
961,Carewell Medical Centre,NORTH,Delhi,New Delhi,"H.No.1, i Complex, Cr Park, Gk - Iv, New Delhi 110019 Dist Delhi Delhi",Mr. Lalit Kumar,STD(011) Tel: 41329548 Fax: 41329548,110019.0,GK – IV
962,Carewell Superspeciality Hospital (A Unit of R.V.M Carewell Hospital & ICU Pvt Ltd),WEST,Maharashtra,Aurangabad,"Plot No:11, Vidyaniketan Colony, Mahesh Nagar Road, Aurangabad, Dist: Aurangabad, State: Maharashtra-431001",Dr.Abhishek,STD (0240) Tel: 2472281,431001.0,Mahesh Nagar
963,Caritas Hospital,SOUTH,Kerala,Kottayam,"Thellakam P.O. Kottayam, Dist:Kottayam Kerala - 686630",Fr. Jose Tharackal - Director,STD(0481) Tel: 2790025 Fax: 2790164,686630.0,Kottayam
964,Carmel Hospital,SOUTH,Kerala,Aluva,"Asokapuram, City: Aluva, Dist: Ernakulam, State: Kerala-683101",0,STD ( 0 ) Tel: 0 Fax: 0 Mob: 9495256130,683101.0,Asokapuram
965,Catholic Mission Hospital,EAST,Orissa,Bargarh,Tora Tora Bargarh 768028 Dist Bargarh Orissa,Sr. Anita - Administrator,STD(06646) Tel: 232402 230203 Fax: 232402,768028.0,Tora
966,Cauvery Hospital,SOUTH,Karnataka,Mysuru,"Teresian College Circle, Siddarthanagar, Mysore 570011 Dist Mysore Karnataka",Dr. Chandrasekhar - Managing Director,STD(0821) Tel: 2425000 2526000 4244000 Fax: 4253968,570011.0,Siddarthanagar
967,CBL Memorial Holy Family Hospital,NORTH,Rajasthan,Jaipur,"43, Ashok Vihar, Ambabari Bridge, Jhotwara Road Jaipur 302012 Dist Jaipur Rajasthan","Dr Pankaj Agar,Director","STD(0141)2336135,Fax:2338686,Mobile:09829019557",302012.0,Jhotwara Road
968,Cellcure Cancer Centre Private Limited,WEST,Maharashtra,Mumbai,"1st Floor,Khodiar Apartments,Daulat Nagar,Road no 6,Borivali East",0,STD (0) Tel: 0 Fax: 0 Mob: 9819378782,400066.0,Borivali East
969,Central Avenue Critical Care Hospital and ICCU.,WEST,Maharashtra,Nagpur,"1st Floor, Mahalaxmi Complex Near Darodkar Square, Central Avenue Nagpur 440002 Dist Nagpur Maharashtra",Dr. Chandak G Rajendra - Proprietor,STD(0712) Tel: 2770300 2768895 2763292 Fax: 2766068,440002.0,Central Avenue
970,Central Hospital,NORTH,Delhi,New Delhi,"A-142, GANESH NAGAR TILAK NAGAR PO TILAK NAGAR PO DELHI DELHI 110018",Mr. Rambyas Singh,STD (011) Tel: 40777999 Fax: 40777915,110018.0,Tilak Nagar
971,Central Medical Centre,NORTH,Haryana,Hisar,Delhi Road Hisar Hisar 125001 Dist Hisar Haryana,Dr. H C Popli -,STD(01662) Tel: 232360 231833 232833 Fax: 01662-232360,125001.0,Hisar
972,Central Referral Hospital,EAST,Sikkim,Gangtok,Tadong 5th Mile Gangtok 737102 Dist East Gangtok Sikkim,Dr. Shamsher Singh,STD (03592) Tel: 231137 234041 Fax: 231162,737102.0,Todong 5th Mile
973,Central United Hospital,WEST,Gujarat,Ahmedabad,"Mangalam Arcade, Opp. Odhav Lake Brts Stand, Odhav, Dist: Ahmedhabad, State: Gujarat-382415",Dr. Divyang Patel - MD,Std(079) Tel: 0 Fax: 0 Mob: 7575004800,382415.0,Odhav
974,Centre for Sight -Patna(A Unit of New Delhi Centre For Sight Ltd),EAST,Bihar,Patna,"A31 PC Colony, Kankarbagh, Patna, City: Patna, Dist: Patna, State: Bihar - 800020.",Dr. Mahipal Singh - MD,STD (0) Tel: 0 Fax: 0 Mobile: 9958957979,800020.0,A31 PC Colony
975,Centre For Eye & Health Care Pvt.Ltd,SOUTH,Tamil Nadu,Chennai,"3 rd Floor, Ramaniyam Isha, 11, Rajiv Gandhi Salai (OMR), Thoraipakkam, Chennai, Dist:Chennai, state:Tamilnadu - 600097",Dr. Ashok Rangarajan - Managing Director,STD (044) 24961414,600097.0,Thoraipakkam
976,Centre For Eye Sight,EAST,West Bengal,Siliguri,"Burdwan Road, Near Kishore Sangha Club, Siliguri 734001 Dist Darjeeling West Bengal",Mr.Rajesh Prasad - Propriter,STD (0353) 2535134,734001.0,Near Kishore Sangha Club
977,Centre for Eye Sight (A Unit of Kyzen Healthcare Solution Pvt.Ltd),NORTH,Jammu & Kashmir,Jammu,"228-BC Road, Rehari Chungi, Jammu 180005 Dist Jammu Jammu & Kashmir",Mr. Sandeep Mengi - Director,STD (0191) 2545486 2545484,180005.0,Rehari Chungi
978,Centre for Sight,NORTH,Delhi,New Delhi,B -5/24 Safdargunj Enclave New Delhi 110029 Dist New Delhi Delhi,Ms. Jasleen Kaur - Manager Operations,STD(011) Tel: 41644000 41653401 Fax: 41651744,110029.0,Safdargunj Enclave
979,Centre For Sight (A Unit of New Delhi Centre For Sight Ltd),EAST,West Bengal,Kolkata,"1a, Ajc Bose Road, City: Kolkata, Dist Kolkata, State: West Bengal - 700020",Mr.Rajarshi Bhattacharya - President,STD (033) Tel: 66306630 Fax: 0 Mob: 0,700020.0,AJC Bose Road
980,Centre For Sight (A Unit of New Delhi Centre For Sight Ltd),EAST,West Bengal,Kolkata,"106, Jessor Road, Kolkata 700129 Dist Kolkata West Bengal",Mr.Rajarshi Bhattacharya - President,STD (033) Tel: 66776677 Fax: 0 Mob: 0,700129.0,Jessore Road
981,Centre For Sight - Ahmedabad,WEST,Gujarat,Ahmedabad,"ABC-1, 1st & 2nd Floor, Near St. Xaviers College, Opp. Wagh Bakari Lounge, Navrangpura, Ahmedabad - 380009; Dist: Ahmedabad; State: Gujarat",Dr. Manipals Sachdev - Chairman,Std(074) Tel: 33013345 Fax: 0,380009.0,Ahmedabad
982,Centre For Sight - Kukatpally,SOUTH,Telangana,Hyderabad,"Survey No.126, Plot No.10, Beside More Megastore, Nizampet X Road, Kukatpally Hyderabad 500072 Dist Hyderabad Telangana",Dr.Mahipal S Sachdev - Chairman,STD (040) 40045594,500072.0,Nizampet X Road
983,CENTRE FOR SIGHT - VADODARA,WEST,Gujarat,Vadodara,"Tower A, 101, K10 Atlantica, Sarabhai compound, opp: Honest Restaurant, Genda circle, Vadodara 390007 Dist Vadodara Gujarat",Dr.M.S Sachdev - Managing Director,STD (0265) 3052603,390007.0,Genda Circle
984,Centre for Sight Agra,NORTH,Uttar Pradesh,Agra,"Ashoka Plaza, 1st & 2nd Floor, Jawahar Nagar, Nh – 2, Bypass Road, Near Omax Srk Mall Agra 282002 Dist Agra Uttar Pradesh",Dr. Mahipal S Sachdev - Chairman,STD(0562) Tel: 4061450 4061451 4061452 Fax: 2527046,282002.0,Delhi Gate
985,Centre For Sight Ashok Vihar,NORTH,Delhi,New Delhi,"B2/6, Ashok vihar, Phase-2 New Delhi 110052 Dist New Delhi Delhi",Dr.M.S Sachdev - Managing Director,STD (011) 43728774 Fax:43728779,110052.0,Phase 2
986,Centre for Sight Gurgaon,NORTH,Haryana,Gurugram,"Sco Complex-317, Sector-29 Gurgaon 122001 Dist Gurgaon Haryana",Dr. Mahipal S Sachdev - Chairman,STD(0124) Tel: 4210317 4210318 Fax:,122001.0,Sector-29
987,Centre For Sight Jaipur,NORTH,Rajasthan,Jaipur,"34-35, Mouzi Colony, Near Hdfc Bank, Malvia Nagar, Jaipur Dist Jaipur Rajasthan",Abhishek Kumar,STD (0141) Tel: 4010713 Fax: 4010713,302017.0,Malvia Nagar
988,Centre for Sight Jodhpur,NORTH,Rajasthan,Jodhpur,"At Ram Rishi Laser Centre, 562,7th C C Road, Near Satsany Bhawan,Sardaspur Jodhpur 342001 Dist Jodhpur Rajasthan",Dr. Mahipal S Sachdev - Chairman,STD(0291) Tel: 2613344 2612551 Fax: 2632352,342001.0,Sardaspur
989,Centre for Sight Moradabad,NORTH,Uttar Pradesh,Moradabad,"At Vivekanand Hospital And Research Centre, Kanth Road, Moradabad 204104 Dist Moradabad Uttar Pradesh",Dr. Mahipal S Sachdev - Chairman,STD(0591) Tel: 2452405 2452406 2452407 Fax: 2452409,204104.0,Kanth Road
990,"Centre For Sight Netralaya Pvt Ltd, NAS College Meerut",NORTH,Uttar Pradesh,Meerut,"Opp. Nas College, E.K.Road, Meerut 250001 Dist Meerut Uttar Pradesh",Mr. Abhishek Kumar,STD (0121) Tel: 2648870 Fax: 26480121,250001.0,EKRoad
991,Centre for Sight Preet Vihar,NORTH,Delhi,New Delhi,"F-14, Preet Vihar, New Delhi 110092; Dist New Delhi; State: Delhi",Dr. Mahipal S Sachdev - Chairman,STD(011) Tel: 43089700 43089701 Fax: 43089707,110092.0,Preet Vihar
992,Centre for Sight Rajouri Garden,NORTH,Delhi,New Delhi,"J-12/30, Rajouri Garden, New Delhi 110027 Dist New Delhi Delhi",Dr. Mahipal S Sachdev - Chairman,STD(011) Tel: 47401363 47401364 Fax:,110027.0,Rajouri Garden
993,Centre for Sight Rohini,NORTH,Delhi,New Delhi,"304-309, Ring Road Mall, Sector-3, Near Kalimandir, New Delhi 110085 Dist New Delhi Delhi",Dr. Mahipal S Sachdev - Chairman,STD(011) Tel: 43089700 43089701 Fax: 43089707,110085.0,Near Kalimandir
994,Centre For Sight Vikaspuri,NORTH,Delhi,New Delhi,"A3, Opp: Metro Pillar No.628, Najafgarh Road, Vikaspuri, New Delhi 110018 Dist New Delhi Delhi",Dr.M.S Sachdev - Managing Director,STD (011) 25612976,110018.0,Najafgarh Road
995,"Centre For Sight, Gurgaon Railway Road",NORTH,Haryana,Gurugram,"Plot No 399/1, New Railway Road, Gurgaon 122001 Dist Gurgaon Haryana",Abhishek Kumar,STD (0124) Tel: 2220101 Fax: 2220101,122001.0,New Railway Road
996,"Centre for Sight, Dwarka",NORTH,Delhi,New Delhi,"Plot No.09,Sector-9,Dwarka,New Delhi-110077; Dist: New Delhi; State: Delhi",Mr. Abhishek Kumar,STD (011) Tel: 41524500 Fax: 41524505,110077.0,Dwarka
997,"Centre For Sight, Faridabad",NORTH,Haryana,Faridabad,"At Sunflat Hospital, Sector-16a, Faridabad 121001 Dist Faridabad Haryana",Mr. Abhishek Kumar,"STD(0129) Tel: 4004441 ,4004442 Fax: 4074737",121001.0,Sector-16A
998,"Centre For Sight, Hyderabad",SOUTH,Telangana,Hyderabad,"Ashoka Capital Building, Road No:2, Banjara Hills, Banjara Hills, 500034 Dist Hyderabad Telangana",Babu Rao Sirigiri,STD (040) Tel: 40045500 40042115 Fax: 40042119,500034.0,Banjara Hills
999,"Centre For Sight, Indore",NORTH,Madhya Pradesh,Indore,"Plot No.124, Sector-Ab, Scheme 54, In Front Hotel Golden Gate Vijay Nagar Indore 452010 Dist Indore Madhya Pradesh",Mr. Abhishek Kumar,STD (0731) Tel: 4001400 Fax: 4001400,452010.0,In Front of Hotel Golden Gate Vijay Nagar
1000,CENTRE FOR SIGHT-JAIPUR,NORTH,Rajasthan,Jaipur,"1ST & 2ND FLOOR,UNIQUE ASPIREC-13-14 COSMOS COLONY AMRAPALI MARG, VAISHAL NAGAR RAJASTHAN JAIPUR 302021 North",Dr.M.S Sachdev - Managing Director,STD (0141) 4003024,302021.0,Cosmos Colony
1001,Century Hospital,SOUTH,Kerala,Chengannur,Mulakuza Chengannur Chengannur 689505 Dist Kottayam Kerala,Dr. Alexander Koshy - Managing Director,STD(0479) Tel: 2469469 Fax: 2468709,689505.0,Chengannur
1002,Century Super Specialty Hospitals Pvt Ltd,SOUTH,Telangana,Hyderabad,"8-2-703, Beside Elbit Diagnostics, Road No:12, Banjara Hills Hyderabad 500034 Dist Hyderabad Telangana",Dr K Venugopal - MD,STD: 040 Ph No : 33133333,500034.0,Banjara Hills
1003,"Chaitanya Eye Hospital, Andhra Pradesh",SOUTH,Andhra Pradesh,Vijayawada,Near Siddhartha Arts College Tikkil Road Mogalrajpuram Vijayawada 520010 Dist Krishna Andhra Pradesh,Dr. A. Srinivas - Medical Director,STD(0866) Tel: 2475153 2485868 Fax:,520010.0,Mogalrajapuram
1004,"Chaitanya Eye Hospital, Kerala",SOUTH,Kerala,Thiruvananthapuram,Kesavadasapuram Pattom (PO) Thiruvananthapuram 695004 Dist Thiruvananthapuram Kerala,Mr. Md Kasim -,STD(0471) Tel: 2447183 2552772 Fax: 2443985,695004.0,Pattom (PO)
1005,Chaitanya Hospital,WEST,Maharashtra,Sangamner,"Aip; New Nagar Road, Tajane Mala, Front Nagare Hospital, Sangamner 422605 Dist Ahmednagar Maharashtra",Dr Ujwala Jathar,STD(02425) Tel: 224761 221632 Fax: 220152,422605.0,Front of Nagare Hospital
1006,"Chaitanya Hospital, Bangalore",SOUTH,Karnataka,Bengaluru,"No 80, 3rd Cross, P&T Colony R T Nagar Bangalore 560032 Dist Bangalore Karnataka",Dr. P M Patil\Geeta Patil - Medical Director,STD(080) Tel: 23333581 23432633 Fax: 23432633,560032.0,R T Nagar
1007,Chaitanya Medical Centre,SOUTH,Karnataka,Bengaluru,"#971/24, A Sector Khb Colony, Yelahanka, Yelahanka, 560064 Dist Bangalore Karnataka",Dr. VasanthKumar,STD (080) Tel: 22766369 28561725 Fax: 28561725,560064.0,Yelahanka
1008,Chaithanya ENT Hosoital,SOUTH,Kerala,Kochi,38/685 A Sahodharan Ayyappan Road Kadavanthra Kochi 682016 Dist Ernakulam Kerala,Dr. Sayeesh Pillai - Director,STD(0484) Tel: 2290565 Fax: 2323705,682016.0,Kadavanthra
1009,Chaithanya Eye Hospital & Research Institute,SOUTH,Kerala,Thiruvalla,"Manjadi, Thiruvalla 689105 Dist Pathanamthitta Kerala",Dr. Unni Krishnan - Managing Director,STD (0469) 3335500 2738000,689105.0,Manjadi
1010,Chaithanya Eye Hospital And Research Institute,SOUTH,Kerala,Kollam,"Prathibha Junction, Kadappakada - P.O., Kollam 691008 Dist Kollam Kerala",Dr. K.G Ramachandra Nair,STD (0474) Tel: 2723645 2723655 Fax: 2723451,691008.0,Prathibha Junction
1011,CHAITHANYA EYE HOSPITAL AND RESEARCH INSTITUTE,SOUTH,Kerala,Kochi,Ravi Puram Road Near Sri Krishna Temple Kochi Kochi 682016 Dist Ernakulam Kerala,Mr Chithra,0484-333500,682016.0,Near Sri Krishna Temple
1012,Chakravarty Nursing Home,NORTH,Haryana,Panchkula,"207, Sector-10 PaNohkula PaNohkula 134113 Dist PaNohkula Haryana",Dr. Satish Chakravarthy -,STD(0172) Tel: 2563505 2567505 Fax: 2585005,134113.0,Sector-10
1013,Challa Eye Care Centre,SOUTH,Telangana,Hyderabad,"8-2-268/R/9-P, Sagar Society Main Road Road No.2 Banjara Hills Hyderabad 500034 Dist Hyderabad Telangana",Dr. C Ravi Prasad -,STD(040) Tel: 23554779 Fax: 23551994,500034.0,Banjara Hills
1014,Challa Hospital,SOUTH,Telangana,Hyderabad,#:7-1-71/A/1 Dharam Karam Road Ameerpet Hyderabad 500016 Dist Hyderabad Telangana,Dr. C R Jayanth - Managing Partnet,STD(040) Tel: 23731515 23748888 23744444 Fax: 23731399,500016.0,Ameerpet
1015,Chanda Devi Memorial Hospital,NORTH,Rajasthan,Jaipur,"71-A, Devi Nagar, Opp: Metro Pillar No 79, New Sanganer Road, Sodala, Jaipur, Dist: Jaipur, State: Rajasthan - 302019",...,STD (0141) Tel: 2291707 Fax: 0 Mob: 9314483336,302019.0,Sodala
1016,Chandak Hospital,NORTH,Madhya Pradesh,Katni,"Chandak Chouk, Katni, Dist: Katni, State: Madhya Pradesh-483501",Dr. S K Chandak -MD,"STD (07622) Tel:222222, Fax:0, Mob:9425801266",483501.0,Katni
1017,Chandak Nursing Home,WEST,Maharashtra,Nagpur,SUPER MARKET HEART OF CITY ZERO MILE MAHARASHTRA NAGPUR 440012 West,Dr. Varsha Chandak - Director,STD(0712) Tel: 2522448 2544836 Fax: 2547563 2551302,440012.0,Sitabuldi
